id,kode_provinsi,nama_provinsi,bps_kode_kabupaten_kota,bps_nama_kabupaten_kota,jenis_sampah,produksi_sampah,satuan,tahun
1,32,JAWA BARAT,3273,KOTA BANDUNG,SISA MAKANAN,712.16,TON/HARI,2018
2,32,JAWA BARAT,3273,KOTA BANDUNG,"KAYU, RANTING, DAUN",63.68,TON/HARI,2018
3,32,JAWA BARAT,3273,KOTA BANDUNG,KERTAS,209.92,TON/HARI,2018
4,32,JAWA BARAT,3273,KOTA BANDUNG,PLASTIK,298.72,TON/HARI,2018
5,32,JAWA BARAT,3273,KOTA BANDUNG,LOGAM,14.4,TON/HARI,2018
6,32,JAWA BARAT,3273,KOTA BANDUNG,KAIN,76,TON/HARI,2018
7,32,JAWA BARAT,3273,KOTA BANDUNG,KARET DAN KULIT,38,TON/HARI,2018
8,32,JAWA BARAT,3273,KOTA BANDUNG,LIMBAH B3,121.28,TON/HARI,2018
9,32,JAWA BARAT,3273,KOTA BANDUNG,LAINNYA,65.76,TON/HARI,2018
10,32,JAWA BARAT,3273,KOTA BANDUNG,SISA MAKANAN,780.08,TON/HARI,2019
11,32,JAWA BARAT,3273,KOTA BANDUNG,"KAYU, RANTING, DAUN",69.75,TON/HARI,2019
12,32,JAWA BARAT,3273,KOTA BANDUNG,KERTAS,229.94,TON/HARI,2019
13,32,JAWA BARAT,3273,KOTA BANDUNG,PLASTIK,327.21,TON/HARI,2019
14,32,JAWA BARAT,3273,KOTA BANDUNG,LOGAM,15.95,TON/HARI,2019
15,32,JAWA BARAT,3273,KOTA BANDUNG,KAIN,83.25,TON/HARI,2019
16,32,JAWA BARAT,3273,KOTA BANDUNG,KARET DAN KULIT,41.71,TON/HARI,2019
17,32,JAWA BARAT,3273,KOTA BANDUNG,LIMBAH B3,132.67,TON/HARI,2019
18,32,JAWA BARAT,3273,KOTA BANDUNG,LAINNYA,72.03,TON/HARI,2019
19,32,JAWA BARAT,3273,KOTA BANDUNG,SISA MAKANAN DAN DAUN,772.69,TON/HARI,2020
20,32,JAWA BARAT,3273,KOTA BANDUNG,KAYU DAN RANTING,69.09,TON/HARI,2020
21,32,JAWA BARAT,3273,KOTA BANDUNG,KERTAS,227.76,TON/HARI,2020
22,32,JAWA BARAT,3273,KOTA BANDUNG,PLASTIK,324.28,TON/HARI,2020
23,32,JAWA BARAT,3273,KOTA BANDUNG,LOGAM,15.62,TON/HARI,2020
24,32,JAWA BARAT,3273,KOTA BANDUNG,KAIN,82.46,TON/HARI,2020
25,32,JAWA BARAT,3273,KOTA BANDUNG,KARET DAN KULIT,41.32,TON/HARI,2020
26,32,JAWA BARAT,3273,KOTA BANDUNG,LIMBAH B3,131.42,TON/HARI,2020
27,32,JAWA BARAT,3273,KOTA BANDUNG,LAINNYA,71.35,TON/HARI,2020
28,32,JAWA BARAT,3273,KOTA BANDUNG,SISA MAKANAN DAN DAUN,736.76,TON/HARI,2021
29,32,JAWA BARAT,3273,KOTA BANDUNG,KAYU DAN RANTING,65.88,TON/HARI,2021
30,32,JAWA BARAT,3273,KOTA BANDUNG,KERTAS,217.17,TON/HARI,2021
31,32,JAWA BARAT,3273,KOTA BANDUNG,PLASTIK,276.43,TON/HARI,2021
32,32,JAWA BARAT,3273,KOTA BANDUNG,LOGAM,14.9,TON/HARI,2021
33,32,JAWA BARAT,3273,KOTA BANDUNG,KAIN,78.63,TON/HARI,2021
34,32,JAWA BARAT,3273,KOTA BANDUNG,KARET DAN KULIT,39.4,TON/HARI,2021
35,32,JAWA BARAT,3273,KOTA BANDUNG,LIMBAH B3,30.13,TON/HARI,2021
36,32,JAWA BARAT,3273,KOTA BANDUNG,LAINNYA,195.98,TON/HARI,2021
37,32,JAWA BARAT,3273,KOTA BANDUNG,SISA MAKANAN DAN DAUN,709.73,TON/HARI,2022
38,32,JAWA BARAT,3273,KOTA BANDUNG,KAYU DAN RANTING,63.45,TON/HARI,2022
39,32,JAWA BARAT,3273,KOTA BANDUNG,KERTAS,209.16,TON/HARI,2022
40,32,JAWA BARAT,3273,KOTA BANDUNG,PLASTIK,266.23,TON/HARI,2022
41,32,JAWA BARAT,3273,KOTA BANDUNG,LOGAM,14.35,TON/HARI,2022
42,32,JAWA BARAT,3273,KOTA BANDUNG,KAIN,75.72,TON/HARI,2022
43,32,JAWA BARAT,3273,KOTA BANDUNG,KARET DAN KULIT,37.94,TON/HARI,2022
44,32,JAWA BARAT,3273,KOTA BANDUNG,LIMBAH B3,29.01,TON/HARI,2022
45,32,JAWA BARAT,3273,KOTA BANDUNG,LAINNYA,188.59,TON/HARI,2022
46,32,JAWA BARAT,3273,KOTA BANDUNG,SISA MAKANAN DAN DAUN,716.51,TON/HARI,2023
47,32,JAWA BARAT,3273,KOTA BANDUNG,KAYU DAN RANTING,64.07,TON/HARI,2023
48,32,JAWA BARAT,3273,KOTA BANDUNG,KERTAS,211.2,TON/HARI,2023
49,32,JAWA BARAT,3273,KOTA BANDUNG,PLASTIK,268.83,TON/HARI,2023
50,32,JAWA BARAT,3273,KOTA BANDUNG,LOGAM,14.49,TON/HARI,2023
51,32,JAWA BARAT,3273,KOTA BANDUNG,KAIN,76.46,TON/HARI,2023
52,32,JAWA BARAT,3273,KOTA BANDUNG,KARET DAN KULIT,38.31,TON/HARI,2023
53,32,JAWA BARAT,3273,KOTA BANDUNG,LIMBAH B3,92.56,TON/HARI,2023
54,32,JAWA BARAT,3273,KOTA BANDUNG,LAINNYA,127.33,TON/HARI,2023
55,32,JAWA BARAT,3273,KOTA BANDUNG,SISA MAKANAN DAN DAUN,664.24,TON/HARI,2024
56,32,JAWA BARAT,3273,KOTA BANDUNG,KAYU DAN RANTING,59.38,TON/HARI,2024
57,32,JAWA BARAT,3273,KOTA BANDUNG,KERTAS,195.75,TON/HARI,2024
58,32,JAWA BARAT,3273,KOTA BANDUNG,PLASTIK,249.16,TON/HARI,2024
59,32,JAWA BARAT,3273,KOTA BANDUNG,LOGAM,13.43,TON/HARI,2024
60,32,JAWA BARAT,3273,KOTA BANDUNG,KAIN,70.87,TON/HARI,2024
61,32,JAWA BARAT,3273,KOTA BANDUNG,KARET DAN KULIT,35.51,TON/HARI,2024
62,32,JAWA BARAT,3273,KOTA BANDUNG,LIMBAH B3,27.15,TON/HARI,2024
63,32,JAWA BARAT,3273,KOTA BANDUNG,LAINNYA,176.5,TON/HARI,2024
